client_name,client_version_from,client_version_to,release_order,num_commits,insertions,deletions,lines,files,self_driven_sdr
command-line-args,0.2.2,0.2.3,7,2,4,4,8,3,TRUE
command-line-args,0.2.3,0.2.4,8,2,5,5,10,3,FALSE
command-line-args,0.2.4,0.3.0,9,8,287,133,420,31,FALSE
command-line-args,0.3.0,0.3.1,10,2,14,2,16,3,TRUE
command-line-args,0.3.1,0.4.0,11,27,498,207,705,52,FALSE
command-line-args,0.4.0,0.5.0,12,5,23,21,44,6,FALSE
command-line-args,0.5.0,0.5.1,13,6,106,48,154,14,FALSE
command-line-args,0.5.1,0.5.2,14,4,21,7,28,7,FALSE
command-line-args,0.5.2,0.5.3,15,2,24,16,40,3,FALSE
command-line-args,0.5.3,0.5.4,16,5,73,75,148,10,FALSE
command-line-args,0.5.4,0.5.5,17,1,36,117,153,4,TRUE
command-line-args,0.5.5,0.5.6,18,2,105,53,158,18,FALSE
command-line-args,0.5.6,0.5.7,19,2,7,3,10,3,TRUE
command-line-args,0.5.7,0.5.8,20,2,3,2,5,2,FALSE
command-line-args,0.5.8,0.5.9,21,2,22,18,40,4,TRUE
command-line-args,0.5.9,1.0.0-0,22,25,1340,1385,2725,129,FALSE
command-line-args,1.0.0-0,1.0.0-1,23,2,223,79,302,12,FALSE
command-line-args,1.0.0-1,1.0.0-2,24,4,36,41,77,8,TRUE
command-line-args,1.0.0-2,1.0.0-3,25,5,85,202,287,13,FALSE
command-line-args,1.0.0-3,1.0.0,26,39,2120,1427,3547,131,FALSE
command-line-args,1.0.0,1.0.1,27,3,17,3,20,6,FALSE
command-line-args,1.0.1,1.0.2,28,4,1080,1081,2161,45,FALSE
command-line-args,1.1.0-0,1.1.0-1,30,6,429,475,904,17,FALSE
command-line-args,1.1.0-1,2.0.0,31,39,3436,2568,6004,168,FALSE
command-line-args,2.0.0,2.0.1,32,2,3,3,6,2,TRUE
command-line-args,2.0.1,2.0.2,33,2,8,7,15,4,TRUE
command-line-args,2.0.2,2.0.3,34,11,246,171,417,27,FALSE
command-line-args,2.0.3,2.0.4,35,2,3,4,7,4,TRUE
command-line-args,2.0.4,2.1.0,36,5,109,44,153,26,FALSE
command-line-args,2.1.0,2.1.1,37,4,21,9,30,9,FALSE
command-line-args,2.1.1,2.1.2,38,4,21,21,42,10,FALSE
command-line-args,2.1.2,2.1.3,39,2,3,3,6,3,FALSE
command-line-args,2.1.3,2.1.4,40,7,299,306,605,20,FALSE
command-line-args,2.1.4,2.1.5,41,12,363,277,640,42,FALSE
command-line-args,2.1.5,2.1.6,42,2,5,4,9,4,TRUE
command-line-args,2.1.6,3.0.0,43,16,616,855,1471,88,FALSE
command-line-args,3.0.0,3.0.1,44,8,352,312,664,57,FALSE
command-line-args,3.0.1,3.0.2,45,3,127,87,214,25,FALSE
command-line-args,3.0.2,3.0.3-0,46,2,18,4,22,5,FALSE
command-line-args,3.0.3-0,3.0.3,47,2,8,3,11,2,TRUE
command-line-args,3.0.3,3.0.4,48,6,1225,298,1523,74,FALSE
command-line-args,3.0.4,3.0.5,49,2,29,11,40,4,FALSE
command-line-args,3.0.5,4.0.0-0,50,8,753,1849,2602,140,FALSE
command-line-args,4.0.0-0,4.0.0-1,51,6,245,175,420,26,FALSE
command-line-args,4.0.0-1,4.0.0,52,1,1,1,2,1,TRUE
command-line-args,4.0.0,4.0.1,53,2,63,5,68,5,TRUE
command-line-args,4.0.1,4.0.2,54,2,72,12,84,4,FALSE
command-line-args,4.0.2,4.0.3,55,2,25,6,31,5,FALSE
command-line-args,4.0.3,4.0.4,56,7,957,551,1508,56,FALSE
command-line-args,4.0.4,4.0.5,57,3,46,20,66,8,FALSE
command-line-args,4.0.5,4.0.6,58,2,11,2,13,3,FALSE
commitizen,1.0.1,1.0.2,1,3,74,16,90,4,TRUE
commitizen,1.0.2,1.0.3,2,2,6,4,10,5,TRUE
commitizen,1.0.3,1.0.4,3,1,8,5,13,2,FALSE
commitizen,1.0.4,1.0.5,4,5,25,25,50,5,FALSE
commitizen,1.0.5,2.0.0,5,2,1455,216,1671,44,FALSE
commitizen,2.0.0,2.0.1,6,1,10,8,18,5,TRUE
commitizen,2.0.1,2.0.2,7,1,1,1,2,1,TRUE
commitizen,2.0.2,2.1.0,8,5,75,13,88,10,TRUE
commitizen,2.1.0,2.2.0,9,8,74,25,99,15,FALSE
commitizen,2.2.0,2.2.1,10,4,10,7,17,4,TRUE
commitizen,2.2.1,2.3.0,11,2,547,159,706,20,TRUE
commitizen,2.3.0,2.4.0,12,11,70,64,134,44,FALSE
commitizen,2.4.0,2.4.1,13,6,12,10,22,6,FALSE
commitizen,2.4.1,2.4.2,14,1,17,2,19,2,FALSE
commitizen,2.4.2,2.4.3,15,1,2,2,4,1,TRUE
commitizen,2.4.3,2.4.4,16,1,1,1,2,1,TRUE
commitizen,2.4.4,2.4.5,17,14,147,39,186,23,FALSE
commitizen,2.4.5,2.4.6,18,4,30,6,36,5,FALSE
commitizen,2.4.6,2.5.0,19,5,62,12,74,6,FALSE
commitizen,2.5.0,2.5.1,20,4,25,25,50,4,FALSE
commitizen,2.5.1,2.6.0,21,1,54,58,112,5,TRUE
